time,timestamp,key,TOTAL_VOLUME,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,OPEN_PRICE,REGULAR_MARKET_LAST_PRICE,REGULAR_MARKET_TRADE_TIME,REGULAR_MARKET_TRADE_DAY,REGULAR_MARKET_NET_CHANGE,QUOTE_TIME_IN_LONG,TRADE_TIME_IN_LONG
2021-03-29 12:18:26.071973-04:00,1617034706048,TSLA,15240472,,,,,607.4142,,,-11.2958,1617033805972,1617033805784
2021-03-29 12:20:12.013181-04:00,1617034811987,TSLA,15349233,,,,,,,,,1617033911754,
2021-03-29 12:20:12.536050-04:00,1617034812509,TSLA,15349569,,,,,606.13,43512,,-12.58,1617033912233,1617033912216
2021-03-29 12:20:13.043789-04:00,1617034813017,TSLA,15349581,,,,,,,,,1617033912728,
2021-03-29 12:16:04.204629-04:00,1617034563623,TSLA,15209634,615.75,596.02,618.71,615.64,608.13,43262,18715,-10.58,1617033663396,1617033662783
2021-03-29 12:16:04.586253-04:00,1617034564226,TSLA,15209691,,,,,,,,,1617033664157,
2021-03-29 12:16:04.818433-04:00,1617034564778,TSLA,15210079,,,,,608.09,43264,,-10.62,1617033664665,1617033664263
2021-03-29 12:16:05.374816-04:00,1617034565327,TSLA,15210283,,,,,,,,,1617033665125,
2021-03-29 12:16:05.879828-04:00,1617034565850,TSLA,15210291,,,,,,,,,1617033665681,
2021-03-29 12:16:06.394739-04:00,1617034566358,TSLA,15210387,,,,,,,,,1617033666176,
2021-03-29 12:16:06.895791-04:00,1617034566870,TSLA,15211090,,,,,608.313,43266,,-10.397,1617033666676,1617033666454
2021-03-29 12:16:07.448426-04:00,1617034567410,TSLA,15211230,,,,,,,,,1617033667123,
2021-03-29 12:16:07.965631-04:00,1617034567937,TSLA,15211255,,,,,,,,,1617033667565,
2021-03-29 12:16:08.491255-04:00,1617034568463,TSLA,15211316,,,,,,,,,1617033668388,
2021-03-29 12:16:08.992562-04:00,1617034568966,TSLA,15211632,,,,,608.305,43268,,-10.405,1617033668929,1617033668746
2021-03-29 12:16:09.510329-04:00,1617034569478,TSLA,15212947,,,,,608.51,43269,,-10.2,1617033669425,1617033669033
2021-03-29 12:16:10.036337-04:00,1617034570009,TSLA,15213053,,,,,,,,,1617033669868,
2021-03-29 12:16:10.554369-04:00,1617034570525,TSLA,15214546,,,,,608.5304,43270,,-10.1796,1617033670417,1617033670199
2021-03-29 12:16:11.071653-04:00,1617034571038,TSLA,15214578,,,,,,,,,1617033670899,
2021-03-29 12:16:11.588031-04:00,1617034571560,TSLA,15214579,,,,,,,,,1617033671413,
2021-03-29 12:16:12.101305-04:00,1617034572069,TSLA,15214697,,,,,,,,,1617033671899,
2021-03-29 12:16:12.612396-04:00,1617034572587,TSLA,15214725,,,,,,,,,1617033672422,
2021-03-29 12:16:13.125951-04:00,1617034573098,TSLA,15215039,,,,,608.3,43272,,-10.41,1617033672722,1617033672578
2021-03-29 12:16:13.668921-04:00,1617034573643,TSLA,15216250,,,,,608.3401,43273,,-10.3699,1617033673296,1617033673233
2021-03-29 12:16:14.190832-04:00,1617034574153,TSLA,15216272,,,,,,,,,1617033673839,
2021-03-29 12:16:14.739468-04:00,1617034574699,TSLA,15216307,,,,,,,,,1617033674424,
2021-03-29 12:16:15.246410-04:00,1617034575220,TSLA,15216563,,,,,,,,,1617033675183,
2021-03-29 12:16:15.785138-04:00,1617034575760,TSLA,15216982,,,,,608.43,43275,,-10.28,1617033675628,1617033675596
2021-03-29 12:16:16.308046-04:00,1617034576282,TSLA,15217101,,,,,,,,,1617033676081,
2021-03-29 12:16:16.846113-04:00,1617034576820,TSLA,15217159,,,,,,,,,1617033676678,
2021-03-29 12:16:17.376563-04:00,1617034577349,TSLA,15217482,,,,,608.381,43277,,-10.329,1617033677146,1617033677099
2021-03-29 12:16:17.883899-04:00,1617034577859,TSLA,15217489,,,,,,,,,1617033677635,
2021-03-29 12:16:18.430580-04:00,1617034578405,TSLA,15218150,,,,,608.47,,,-10.24,1617033678008,1617033677846
2021-03-29 12:16:18.942749-04:00,1617034578912,TSLA,15218356,,,,,608.5,43278,,-10.21,1617033678676,1617033678588
2021-03-29 12:16:19.468531-04:00,1617034579439,TSLA,15218360,,,,,,,,,1617033679103,
2021-03-29 12:16:19.984164-04:00,1617034579956,TSLA,15218736,,,,,608.475,43279,,-10.235,1617033679622,1617033679543
2021-03-29 12:16:20.504554-04:00,1617034580476,TSLA,15219597,,,,,608.6952,43280,,-10.0148,1617033680270,1617033680250
2021-03-29 12:16:21.057014-04:00,1617034581030,TSLA,15220258,,,,,608.7322,,,-9.9778,1617033680873,1617033680778
2021-03-29 12:16:21.571325-04:00,1617034581544,TSLA,15220516,,,,,608.48,43281,,-10.23,1617033681389,1617033681328
2021-03-29 12:16:22.120765-04:00,1617034582076,TSLA,15220729,,,,,,,,,1617033681875,
2021-03-29 12:16:22.634778-04:00,1617034582610,TSLA,15220745,,,,,,,,,1617033682433,
2021-03-29 12:16:23.160860-04:00,1617034583137,TSLA,15221907,,,,,608.73,43282,,-9.98,1617033682879,1617033682493
2021-03-29 12:16:23.672952-04:00,1617034583648,TSLA,15221937,,,,,,,,,1617033683282,
2021-03-29 12:16:24.181799-04:00,1617034584156,TSLA,15222068,,,,,608.48,43283,,-10.23,1617033683887,1617033683565
2021-03-29 12:16:24.707171-04:00,1617034584681,TSLA,15222119,,,,,,,,,1617033684428,
2021-03-29 12:16:25.211562-04:00,1617034585187,TSLA,15222149,,,,,,,,,1617033684873,
2021-03-29 12:16:25.754814-04:00,1617034585702,TSLA,15222178,,,,,,,,,1617033685358,
2021-03-29 12:16:26.239324-04:00,1617034586212,TSLA,15222347,,,,,,,,,1617033686179,
2021-03-29 12:16:26.777645-04:00,1617034586746,TSLA,15222370,,,,,,,,,1617033686685,
2021-03-29 12:16:27.308189-04:00,1617034587278,TSLA,15222383,,,,,,,,,1617033687153,
2021-03-29 12:16:27.822859-04:00,1617034587797,TSLA,15222385,,,,,,,,,1617033687688,
2021-03-29 12:16:28.347468-04:00,1617034588322,TSLA,15222395,,,,,,,,,1617033688145,
2021-03-29 12:16:28.877171-04:00,1617034588851,TSLA,15222849,,,,,608.51,43288,,-10.2,1617033688643,1617033688341
2021-03-29 12:16:29.412204-04:00,1617034589380,TSLA,15222864,,,,,,,,,1617033689178,
2021-03-29 12:16:29.913148-04:00,1617034589887,TSLA,15222913,,,,,,,,,1617033689688,
2021-03-29 12:16:30.440046-04:00,1617034590414,TSLA,15223171,,,,,,,,,1617033689865,
2021-03-29 12:16:30.968888-04:00,1617034590928,TSLA,15224799,,,,,608.77,43290,,-9.94,1617033690667,1617033690288
2021-03-29 12:16:31.533634-04:00,1617034591480,TSLA,15225676,,,,,608.525,43291,,-10.185,1617033691388,1617033691136
2021-03-29 12:16:32.024756-04:00,1617034591998,TSLA,15225886,,,,,608.63,,,-10.08,1617033691841,1617033691543
2021-03-29 12:16:32.529171-04:00,1617034592503,TSLA,15226309,,,,,608.6,43292,,-10.11,1617033692330,1617033692229
2021-03-29 12:16:33.060810-04:00,1617034593035,TSLA,15226331,,,,,,,,,1617033692919,
2021-03-29 12:16:33.612564-04:00,1617034593588,TSLA,15226342,,,,,,,,,1617033693389,
2021-03-29 12:16:34.138199-04:00,1617034594109,TSLA,15226365,,,,,,,,,1617033693910,
2021-03-29 12:16:34.680772-04:00,1617034594652,TSLA,15226420,,,,,,,,,1617033694238,
2021-03-29 12:16:35.179720-04:00,1617034595155,TSLA,15226447,,,,,,,,,1617033694729,
2021-03-29 12:16:35.704915-04:00,1617034595664,TSLA,15226530,,,,,,,,,1617033695385,
2021-03-29 12:16:36.213155-04:00,1617034596187,TSLA,15226558,,,,,,,,,1617033695802,
2021-03-29 12:16:36.739485-04:00,1617034596712,TSLA,15226924,,,,,608.46,43296,,-10.25,1617033696332,1617033696323
2021-03-29 12:16:37.264607-04:00,1617034597236,TSLA,15227134,,,,,,,,,1617033697132,
2021-03-29 12:16:37.807196-04:00,1617034597775,TSLA,15227335,,,,,,,,,1617033697685,
2021-03-29 12:16:38.309763-04:00,1617034598280,TSLA,15227336,,,,,,,,,1617033698059,
2021-03-29 12:16:38.826959-04:00,1617034598799,TSLA,15228182,,,,,608.535,43298,,-10.175,1617033698480,1617033698502
2021-03-29 12:16:39.332241-04:00,1617034599302,TSLA,15228591,,,,,608.5801,43299,,-10.1299,1617033699191,1617033699127
2021-03-29 12:16:39.849417-04:00,1617034599809,TSLA,15228595,,,,,,,,,1617033699689,
2021-03-29 12:16:40.342777-04:00,1617034600312,TSLA,15228639,,,,,,,,,1617033700171,
2021-03-29 12:16:40.860069-04:00,1617034600833,TSLA,15228783,,,,,608.6459,43300,,-10.0641,1617033700615,1617033700222
2021-03-29 12:16:41.400253-04:00,1617034601375,TSLA,15229287,,,,,608.5999,,,-10.1101,1617033701041,1617033700957
2021-03-29 12:16:41.936481-04:00,1617034601911,TSLA,15229672,,,,,608.5,43301,,-10.21,1617033701582,1617033701302
2021-03-29 12:16:42.467994-04:00,1617034602434,TSLA,15230163,,,,,608.33,43302,,-10.38,1617033702188,1617033702042
2021-03-29 12:16:42.970617-04:00,1617034602945,TSLA,15230171,,,,,,,,,1617033702670,
2021-03-29 12:16:43.497569-04:00,1617034603473,TSLA,15230899,,,,,608.51,,,-10.2,1617033703428,1617033702865
2021-03-29 12:16:44.050346-04:00,1617034604023,TSLA,15231611,,,,,608.7,43303,,-10.01,1617033703869,1617033703686
2021-03-29 12:16:44.558593-04:00,1617034604528,TSLA,15232152,,,,,608.76,43304,,-9.95,1617033704439,1617033704439
2021-03-29 12:16:45.079999-04:00,1617034605052,TSLA,15232209,,,,,,,,,1617033704702,
2021-03-29 12:16:45.598256-04:00,1617034605571,TSLA,15232226,,,,,,,,,1617033705338,
2021-03-29 12:16:46.134126-04:00,1617034606108,TSLA,15232555,,,,,608.799,43305,,-9.911,1617033705893,1617033705579
2021-03-29 12:16:46.660561-04:00,1617034606637,TSLA,15235113,,,,,608.9,43306,,-9.81,1617033706310,1617033706297
2021-03-29 12:16:47.209672-04:00,1617034607185,TSLA,15240156,,,,,608.9702,,,-9.7398,1617033706924,1617033706601
2021-03-29 12:16:47.765988-04:00,1617034607738,TSLA,15241247,,,,,608.8685,43307,,-9.8415,1617033707601,1617033707600
2021-03-29 12:16:48.339977-04:00,1617034608266,TSLA,15242692,,,,,608.74,,,-9.97,1617033708191,1617033707880
2021-03-29 12:16:48.815379-04:00,1617034608792,TSLA,15242848,,,,,,,,,1617033708605,
2021-03-29 12:16:49.344258-04:00,1617034609317,TSLA,15244958,,,,,608.72,43309,,-9.99,1617033709196,1617033709068
2021-03-29 12:16:49.873992-04:00,1617034609837,TSLA,15244967,,,,,,,,,1617033709682,
2021-03-29 12:16:50.383350-04:00,1617034610355,TSLA,15245213,,,,,608.61,,,-10.1,1617033710170,1617033709898
2021-03-29 12:16:50.908237-04:00,1617034610874,TSLA,15245447,,,,,,,,,1617033710684,
2021-03-29 12:16:51.458493-04:00,1617034611425,TSLA,15245547,,,,,608.59,43310,,-10.12,1617033711123,1617033710898
2021-03-29 12:16:51.966173-04:00,1617034611934,TSLA,15246597,,,,,608.52,43311,,-10.19,1617033711687,1617033711584
2021-03-29 12:16:52.481084-04:00,1617034612458,TSLA,15247439,,,,,608.28,,,-10.43,1617033712117,1617033711802
2021-03-29 12:16:53.008614-04:00,1617034612978,TSLA,15247919,,,,,608.358,43312,,-10.352,1617033712942,1617033712858
2021-03-29 12:16:53.528063-04:00,1617034613500,TSLA,15248248,,,,,608.15,43313,,-10.56,1617033713441,1617033713199
2021-03-29 12:16:54.046798-04:00,1617034614021,TSLA,15248499,,,,,608.164,,,-10.546,1617033713932,1617033713496
2021-03-29 12:16:54.567814-04:00,1617034614526,TSLA,15249999,,,,,607.7271,43314,,-10.9829,1617033714409,1617033714391
2021-03-29 12:16:55.077543-04:00,1617034615052,TSLA,15250470,,,,,607.896,,,-10.814,1617033714890,1617033714784
2021-03-29 12:16:55.638752-04:00,1617034615596,TSLA,15251036,,,,,607.81,43315,,-10.9,1617033715428,1617033715193
2021-03-29 12:16:56.144274-04:00,1617034616114,TSLA,15251079,,,,,,,,,1617033715929,
2021-03-29 12:16:56.709345-04:00,1617034616664,TSLA,15251471,,,,,607.82,43316,,-10.89,1617033716411,1617033716303
2021-03-29 12:16:57.236360-04:00,1617034617213,TSLA,15251525,,,,,,,,,1617033716863,
2021-03-29 12:16:57.789847-04:00,1617034617760,TSLA,15251606,,,,,,,,,1617033717694,
2021-03-29 12:16:58.339509-04:00,1617034618311,TSLA,15252527,,,,,607.8111,43317,,-10.8989,1617033717927,1617033717733
2021-03-29 12:16:58.887388-04:00,1617034618861,TSLA,15253354,,,,,607.8992,43318,,-10.8108,1617033718540,1617033718272
2021-03-29 12:16:59.399099-04:00,1617034619368,TSLA,15253736,,,,,608.05,,,-10.66,1617033718813,1617033718778
2021-03-29 12:16:59.928068-04:00,1617034619894,TSLA,15254827,,,,,,,,,1617033719514,
2021-03-29 12:17:00.429711-04:00,1617034620397,TSLA,15254874,,,,,,,,,1617033720118,
2021-03-29 12:17:00.960063-04:00,1617034620929,TSLA,15254942,,,,,,,,,1617033720690,
2021-03-29 12:17:01.460513-04:00,1617034621432,TSLA,15254970,,,,,,,,,1617033721191,
2021-03-29 12:17:02.003346-04:00,1617034621963,TSLA,15255042,,,,,,,,,1617033721700,
2021-03-29 12:17:02.526692-04:00,1617034622498,TSLA,15256601,,,,,608.26,43322,,-10.45,1617033722448,1617033722171
2021-03-29 12:17:03.065827-04:00,1617034623044,TSLA,15256974,,,,,,,,,1617033722703,
2021-03-29 12:17:03.584030-04:00,1617034623556,TSLA,15257234,,,,,608.35,43323,,-10.36,1617033723450,1617033723227
2021-03-29 12:17:04.105741-04:00,1617034624065,TSLA,15257289,,,,,,,,,1617033723943,
2021-03-29 12:17:04.629140-04:00,1617034624598,TSLA,15257475,,,,,,,,,1617033724377,
2021-03-29 12:17:05.159168-04:00,1617034625117,TSLA,15257937,,,,,608.77,43324,,-9.94,1617033724929,1617033724621
2021-03-29 12:17:05.715104-04:00,1617034625674,TSLA,15258618,,,,,608.8,43325,,-9.91,1617033725381,1617033725281
2021-03-29 12:17:06.252192-04:00,1617034626224,TSLA,15258744,,,,,608.7674,43326,,-9.9426,1617033726184,1617033726164
2021-03-29 12:17:06.779988-04:00,1617034626750,TSLA,15259311,,,,,608.8774,,,-9.8326,1617033726666,1617033726461
2021-03-29 12:17:07.301894-04:00,1617034627277,TSLA,15259578,,,,,608.82,43327,,-9.89,1617033727197,1617033727141
2021-03-29 12:17:07.814518-04:00,1617034627787,TSLA,15259657,,,,,,,,,1617033727607,
2021-03-29 12:17:08.351600-04:00,1617034628309,TSLA,15259795,,,,,608.785,,,-9.925,1617033728189,1617033727939
2021-03-29 12:17:08.859807-04:00,1617034628832,TSLA,15259896,,,,,608.705,43328,,-10.005,1617033728675,1617033728483
2021-03-29 12:17:09.379587-04:00,1617034629351,TSLA,15260197,,,,,,,,,1617033729172,
2021-03-29 12:17:09.895674-04:00,1617034629873,TSLA,15261245,,,,,608.7294,43329,,-9.9806,1617033729597,1617033729537
2021-03-29 12:17:10.421286-04:00,1617034630391,TSLA,15261588,,,,,,,,,1617033730199,
2021-03-29 12:17:10.942487-04:00,1617034630917,TSLA,15261899,,,,,608.4867,43330,,-10.2233,1617033730689,1617033730603
2021-03-29 12:17:11.503427-04:00,1617034631462,TSLA,15262060,,,,,608.4966,43331,,-10.2134,1617033730845,1617033731131
2021-03-29 12:17:12.002362-04:00,1617034631975,TSLA,15262071,,,,,,,,,1617033731390,
2021-03-29 12:17:12.514560-04:00,1617034632486,TSLA,15262405,,,,,,,,,1617033732392,
2021-03-29 12:17:13.067587-04:00,1617034633038,TSLA,15262603,,,,,608.62,43332,,-10.09,1617033732879,1617033732777
2021-03-29 12:17:13.639997-04:00,1617034633592,TSLA,15264691,,,,,608.35,43333,,-10.36,1617033733456,1617033733148
2021-03-29 12:17:14.141903-04:00,1617034634117,TSLA,15264754,,,,,,,,,1617033733789,
2021-03-29 12:17:14.662730-04:00,1617034634633,TSLA,15264914,,,,,608.5,43334,,-10.21,1617033734429,1617033734205
